source,image,lens,gridsize,lens-code
88,46.75,61,2.65,2.1
88,47,61,2.61,2.1
88,48,61,2.09,2.1
88,40.7,71,6.61,2.1
88,41.1,71,6.83,2.1
88,38.3,71,8.03,2.1
88,48.95,66,3.12,2.1
88,49.1,66,2.83,2.1
88,48.7,66,3.31,2.1
88,49.1,64,2.33,2.1
88,48.7,64,2.24,2.1
88,48.95,64,2.75,2.1
88,-11,51,5.13,3.1
88,-12.9,51,5.99,3.1
88,-12.4,51,5.65,3.1
88,-2.1,41,3.19,3.1
88,-1,41,2.88,3.1
88,-1.7,41,3.06,3.1
88,-4.5,46,3.81,3.1
88,-4.8,46,4.17,3.1
88,-3.5,46,3.96,3.1
88,-2.7,43,3.26,3.1
88,-2.3,43,3.59,3.1
88,-3.7,43,4.07,3.1
88,-13.7,51,5.96,3.2
88,-14,51,6.04,3.2
88,-16.8,51,6.84,3.2
88,-1.9,41,2.92,3.2
88,-1.8,41,2.79,3.2
88,-2.9,41,4.33,3.2
88,-5.5,46,4.72,3.2
88,-4.9,46,4.4,3.2
88,-7,46,5.18,3.2
88,-3.7,43,4.4,3.2
88,-4.3,43,3.96,3.2
88,-2.9,43,3.54,3.2
